1;1;Худой;Thin
2;1;Толстый;Fat
3;1;Высокий;Tall
4;1;Невысокий;Short
5;1;Слабый;Weak
6;1;Сильный;Strong
7;1;Стройный;Slim
8;1;Полный;Plump
9;1;Тощий;Skinny
10;1;Старый;Old
11;1;Молодой;Young
12;1;Волосатый;Hairy
13;1;Лысый;Bald
14;1;Кудрявый;Curly
15;1;Прямые;Straight
16;1;Красивая;Pretty
17;1;Красивый;Handsome
18;1;Уродливый;Ugly
19;2;"Комната; помещение";Room
20;2;Ванная комната;Bathroom
21;2;Балкон;Balcony
22;2;Спальня;Bedroom
23;2;Шкаф;Closet
24;2;Столовая;Dining room
25;2;Дверной звонок;Doorbell
26;2;Дверь;Door
27;2;Верхний этаж;Upstairs
28;2;Подвальный этаж;Downstairs
29;2;Крыша, кровля;Roof
30;2;Окно;Window
31;2;Гараж;Garage
32;2;Зал;Hall
33;2;Кухня;Kitchen
34;2;Коридор;Hallway
35;2;Гостиная;Living room
36;2;Почтовый ящик;Mailbox
37;2;Душ;Shower
38;2;Лестница;Stairs
39;2;Туалет;Toilet
40;3;Бежать, бегать;Run
41;3;Маршировать;March
42;3;Ходить на цыпочках;Tiptoe
43;3;Ползать;Crawl
44;3;Тащить;Drag
45;3;Тянуть;Pull
46;3;"Толкать; пихать";Push
47;3;Прыгать, скакать;Jump
48;3;Прыгать, скакать;Skip
49;3;Прыжок, скачок;Leap
50;3;Подпрыгивать;Hop
51;3;Ударять (по чему-л.);Hit
52;3;Шлепать, хлопать;Slap
53;3;Удар ногой;Kick
54;3;Тянуться, вытягиваться;Stretch
55;3;Поднятие, поднимать;Lift
56;3;Класть, ставить;Put
57;3;Прислонять, опирать;Lean
58;3;Нырять;Dive
59;3;"Сидеть; садиться";Sit
60;3;Приседание;Squat
61;3;Сгибаться;Bend
62;3;"Держать; обнимать";Hold
63;3;Нести, носить;Carry
64;3;"Ловить; поймать";Catch
65;3;Бросать, кидать;Throw
66;4;Морское побережье;Coast
67;4;Пустыня;Desert
68;4;Ледник;Glacier
69;4;Лес;Forest
70;4;Поле, луг;Field
71;4;Каньон;Canyon
72;4;Остров;Island
73;4;Джунгли, дебри;Jungle
74;4;Озеро;Lake
75;4;Гора;Mountain
76;4;Холм, возвышенность;Hill
77;4;Равнина;Plain
78;4;Низина, впадина;Hollow
79;4;Пруд;Pond
80;4;Скала, камень;Rock
81;4;Океан;Ocean
82;4;Море;Sea
83;4;Река;River
84;5;Ветчина;Ham
85;5;Колбаса, сосиска;Sausage
86;5;Мясо;Meat
87;5;Яйцо;Egg
88;5;Пицца;Pizza
89;5;Суп;Soup
90;5;Хлеб;Bread
91;5;Молоко;Milk
92;5;Каша;Porridge
93;5;Мука;Flour
94;5;Чеснок;Garlic
95;5;Салат;Salad
96;5;Рыба;Fish
97;5;Цыплёнок;Chicken
98;5;Свинина;Pork
99;5;Говядина;Beef
100;5;Бифштекс, стейк;Steak
101;5;Специя, пряность;Spice
102;5;Масло;Butter
103;5;Картофель;Potato
104;5;Макароны;Macaroni
105;5;Сыр;Cheese
106;5;Рис;Rice
107;5;Паста;Pasta
108;5;Кетчуп;Ketchup
109;5;Соус;Sauce
110;5;Майонез;Mayonnaise
111;5;Фасоль;Bean
112;5;Перец;Pepper
113;5;Соль;Salt
114;5;Бутерброд;Sandwich
115;5;Котлета;Cutlet
116;5;Икра;Caviar
117;5;Овощи;Vegetables
118;5;Фрукт;Fruit
119;5;Печёный, выпеченный;Baked
120;5;Жареный;Fried
121;5;Соленые огурцы;Pickled cucumbers
122;5;Маринованные помидоры;Marinated tomatoes
123;5;Чай;Tea
124;5;Кофе;Coffee
125;5;Какао;Cocoa
126;5;Шоколад;Chocolate
127;5;"Варенье; джем";Jam
128;5;Сахар;Sugar
129;5;Конфета;Candy
130;5;Кекс, торт;Cake
131;6;Город (большой);City
132;6;Здание, строение;Building
133;6;Небоскреб;Skyscraper
134;6;Дворец;Palace
135;6;Банк;Bank
136;6;Книжный магазин;Bookstore
137;6;Автобусная остановка;Bus stop
138;6;Кондитерская;Confectionery
139;6;Булочная, пекарня;Bakery
140;6;Кафе;Coffee shop
141;6;Кафе;Cafe
142;6;Ресторан;Restaurant
143;6;Аптека;Drugstore
144;6;Аптека;Pharmacy
145;6;Зубной кабинет;Dentist’s office
146;6;Врачебный кабинет;Doctor’s office
147;6;Больница;Hospital
148;6;Цветочный магазин;Flower’s shop
149;6;Автозаправочная станция;Gas station
150;6;Библиотека;Library
151;6;Театр;Theatre
152;6;Кинотеатр;Cinema
153;6;Музей;Museum
154;6;Церковь;Church
155;6;Парк;Park
156;6;Бассейн;Pool
157;6;Почта;Post office
158;6;Гостиница;Hotel
159;6;Университет;University
160;6;Школа;School
161;6;Супермаркет;Supermarket
162;6;Магазин;Store
163;6;Железнодорожный вокзал;Train station
164;6;Метро;Underground
165;6;Улица;Street
166;6;Проспект;Avenue
167;6;Площадь;Square
168;6;Аллея;Alley
169;6;Район;Area
170;6;Карта;Map
171;7;Аллергия;Allergy
172;7;Пластырь;Plaster
173;7;Кровь из носа;Bloody nose
174;7;Сломанная рука;Broken arm
175;7;Синяк;Bruise
176;7;Шишка;Bump
177;7;Кашель;Cough
178;7;Порез;Cut
179;7;Диарея;Diarrhea
180;7;Жар;Fever
181;7;Головная боль;Headache
182;7;Шатающийся зуб;Loose tooth
183;7;Лекарство, медикамент;Medicine
184;7;Насморк;Runny nose
185;7;Царапина;Scratch
186;7;Укол;Shot
187;7;Больной;Sick
188;7;Чиханье;Sneeze
189;7;Боль в животе;Stomachache
190;7;Солнечный ожог;Sunburn
191;7;Градусник;Thermometer
192;7;Тошнота;Throw up
193;7;Зубная боль;Toothache
194;8;Самолёт;Airplane
195;8;Машина скорой помощи;Ambulance
196;8;Автобус;Bus
197;8;Автомобиль;Car
198;8;Грузовой автомобиль;Truck
199;8;Пожарная машина;Fire truck
200;8;Вертолёт;Helicopter
201;8;Мотоцикл;Motorcycle
202;8;Эстакада, переход;Overpass
203;8;Полицейский автомобиль;Police car
204;8;Дорога, шоссе;Road
205;8;Лодка, шлюпка;Boat
206;8;Парусник;Sailboat
207;8;Корабль;Ship
208;8;Улица;Street
209;8;Подводная лодка;Submarine
210;8;Тоннель;Subway
211;8;Трактор;Tractor
212;8;Светофор;Traffic light
213;8;Поезд;Train
214;8;Железнодорожный переезд;Train crossing
215;8;Фургон;Van
216;8;Скутер, самокат;Scooter
217;8;Велосипед;Bicycle
218;9;Мама;Mother
219;9;Папа;Father
220;9;Родители;Parents
221;9;Сын;Son
222;9;Дочь;Daughter
223;9;Дети;Children
224;9;Сестра;Sister
225;9;Брат;Brother
226;9;Бабушка;Grandmother
227;9;Дедушка;Grandfather
228;9;Дедушка и бабушка;Grandparents
229;9;Прабабушка;Great-grandmother
230;9;Прадедушка;Great-grandfather
231;9;Внук;Grandson
232;9;Внучка;Granddaughter
233;9;Тётя;Aunt
234;9;Дядя;Uncle
235;9;Племянница;Niece
236;9;Племянник;Nephew
237;9;Отчим;Stepfather